   1.0000000000000000e+00   2.0000000000000000e+00   2.4000000000000000e+01   3.6951742195631188e-03   0.0000000000000000e+00
   2.0000000000000000e+00   2.0000000000000000e+00   3.5000000000000000e+01   2.6037554779091286e-03   0.0000000000000000e+00
   3.0000000000000000e+00   3.0000000000000000e+00   2.5000000000000000e+01   2.5291226864104749e-03   0.0000000000000000e+00
   4.0000000000000000e+00   3.0000000000000000e+00   3.5000000000000000e+01   2.7972102451941884e-03   0.0000000000000000e+00
   5.0000000000000000e+00   4.0000000000000000e+00   2.5000000000000000e+01   2.6259720427754757e-03   0.0000000000000000e+00
   6.0000000000000000e+00   4.0000000000000000e+00   2.6000000000000000e+01   2.0181898241280116e-03   0.0000000000000000e+00
   7.0000000000000000e+00   5.0000000000000000e+00   2.6000000000000000e+01   2.4201167683292326e-03   0.0000000000000000e+00
   8.0000000000000000e+00   6.0000000000000000e+00   2.6000000000000000e+01   1.8967480125683047e-03   0.0000000000000000e+00
   9.0000000000000000e+00   6.0000000000000000e+00   3.9000000000000000e+01   2.4600668689485953e-03   0.0000000000000000e+00
   1.0000000000000000e+01   6.0000000000000000e+00   4.7000000000000000e+01   3.7386158963134256e-03   0.0000000000000000e+00
   1.1000000000000000e+01   6.0000000000000000e+00   8.3000000000000000e+01   2.4586355512856649e-03   0.0000000000000000e+00
   1.2000000000000000e+01   7.0000000000000000e+00   2.7000000000000000e+01   2.5643377341015932e-03   0.0000000000000000e+00
   1.3000000000000000e+01   7.0000000000000000e+00   3.9000000000000000e+01   2.5430452618844996e-03   0.0000000000000000e+00
   1.4000000000000000e+01   7.0000000000000000e+00   8.3000000000000000e+01   2.8085254419672103e-03   0.0000000000000000e+00
   1.5000000000000000e+01   7.0000000000000000e+00   9.2000000000000000e+01   2.6155847545975930e-03   0.0000000000000000e+00
   1.6000000000000000e+01   8.0000000000000000e+00   2.7000000000000000e+01   2.7713381429916276e-03   0.0000000000000000e+00
   1.7000000000000000e+01   8.0000000000000000e+00   3.7000000000000000e+01   2.5577400342391586e-03   0.0000000000000000e+00
   1.8000000000000000e+01   8.0000000000000000e+00   8.2000000000000000e+01   2.6535625400933445e-03   0.0000000000000000e+00
   1.9000000000000000e+01   8.0000000000000000e+00   9.2000000000000000e+01   2.8936271859614721e-03   0.0000000000000000e+00
   2.0000000000000000e+01   9.0000000000000000e+00   2.8000000000000000e+01   2.5580666869896114e-03   0.0000000000000000e+00
   2.1000000000000000e+01   9.0000000000000000e+00   3.7000000000000000e+01   2.7648724057355517e-03   0.0000000000000000e+00
   2.2000000000000000e+01   9.0000000000000000e+00   8.2000000000000000e+01   2.9199381573452401e-03   0.0000000000000000e+00
   2.3000000000000000e+01   9.0000000000000000e+00   9.1000000000000000e+01   2.6470660324259131e-03   0.0000000000000000e+00
   2.4000000000000000e+01   1.0000000000000000e+01   2.8000000000000000e+01   2.7803496901282862e-03   0.0000000000000000e+00
